Date,High,Low,Open,Close,Volume,Adj Close
2020-08-05,650.0,650.0,650.0,650.0,400,650.0
2020-08-06,689.0,686.0,686.0,689.0,170,689.0
2020-08-07,689.0,688.0,689.0,689.0,210,689.0
2020-08-11,720.0,682.0,689.0,720.0,640,720.0
2020-08-12,720.0,720.0,720.0,720.0,0,720.0
2020-08-13,725.0,696.0,720.0,725.0,1330,725.0
2020-08-14,720.0,720.0,720.0,720.0,300,720.0
2020-08-17,705.0,705.0,705.0,705.0,100,705.0
2020-08-18,700.0,700.0,700.0,700.0,20,700.0
2020-08-19,695.0,695.0,695.0,695.0,10,695.0
2020-08-20,695.0,695.0,695.0,695.0,10,695.0
2020-08-21,695.0,695.0,695.0,695.0,0,695.0
2020-08-24,695.0,695.0,695.0,695.0,0,695.0
2020-08-25,695.0,695.0,695.0,695.0,0,695.0
2020-08-26,695.0,695.0,695.0,695.0,0,695.0
2020-08-27,695.0,695.0,695.0,695.0,0,695.0
2020-08-28,695.0,695.0,695.0,695.0,0,695.0
2020-08-31,695.0,695.0,695.0,695.0,0,695.0
2020-09-01,695.0,695.0,695.0,695.0,0,695.0
2020-09-02,695.0,695.0,695.0,695.0,0,695.0
2020-09-03,695.0,695.0,695.0,695.0,0,695.0
2020-09-04,665.0,665.0,665.0,665.0,10,665.0
2020-09-07,720.0,645.0,720.0,671.0,1140,671.0
2020-09-08,671.0,671.0,671.0,671.0,0,671.0
2020-09-09,671.0,671.0,671.0,671.0,0,671.0
2020-09-10,700.0,700.0,700.0,700.0,10,700.0
2020-09-11,709.0,700.0,700.0,709.0,20,709.0
2020-09-14,710.0,700.0,710.0,700.0,20,700.0
2020-09-15,700.0,700.0,700.0,700.0,0,700.0
2020-09-16,700.0,700.0,700.0,700.0,0,700.0
2020-09-17,700.0,700.0,700.0,700.0,0,700.0
2020-09-18,700.0,700.0,700.0,700.0,0,700.0
2020-09-23,700.0,700.0,700.0,700.0,0,700.0
2020-09-24,700.0,700.0,700.0,700.0,0,700.0
2020-09-25,680.0,680.0,680.0,680.0,20,680.0
2020-09-28,680.0,680.0,680.0,680.0,0,680.0
2020-09-29,680.0,680.0,680.0,680.0,0,680.0
2020-09-30,680.0,680.0,680.0,680.0,0,680.0
2020-10-02,680.0,680.0,680.0,680.0,0,680.0
2020-10-05,680.0,680.0,680.0,680.0,0,680.0
2020-10-06,680.0,680.0,680.0,680.0,0,680.0
2020-10-07,680.0,680.0,680.0,680.0,0,680.0
2020-10-08,709.0,694.0,700.0,702.0,60,702.0
2020-10-09,702.0,702.0,702.0,702.0,0,702.0
2020-10-12,702.0,702.0,702.0,702.0,0,702.0
2020-10-13,700.0,700.0,700.0,700.0,10,700.0
2020-10-14,700.0,700.0,700.0,700.0,0,700.0
2020-10-15,700.0,700.0,700.0,700.0,0,700.0
2020-10-16,700.0,700.0,700.0,700.0,0,700.0
2020-10-19,700.0,700.0,700.0,700.0,0,700.0
2020-10-20,700.0,700.0,700.0,700.0,0,700.0
2020-10-21,700.0,700.0,700.0,700.0,0,700.0
2020-10-22,700.0,700.0,700.0,700.0,0,700.0
2020-10-23,700.0,700.0,700.0,700.0,0,700.0
2020-10-26,710.0,700.0,700.0,710.0,90,710.0
2020-10-27,710.0,710.0,710.0,710.0,0,710.0
2020-10-28,710.0,710.0,710.0,710.0,0,710.0
2020-10-29,710.0,710.0,710.0,710.0,0,710.0
2020-10-30,690.0,690.0,690.0,690.0,100,690.0
2020-11-02,760.0,680.0,760.0,710.0,930,710.0
2020-11-04,710.0,695.0,695.0,710.0,190,710.0
2020-11-05,710.0,710.0,710.0,710.0,0,710.0
2020-11-06,720.0,720.0,720.0,720.0,50,720.0
2020-11-09,750.0,711.0,711.0,750.0,190,750.0
2020-11-10,779.0,770.0,770.0,779.0,600,779.0
2020-11-11,780.0,761.0,764.0,780.0,410,780.0
2020-11-12,766.0,766.0,766.0,766.0,20,766.0
2020-11-13,767.0,767.0,767.0,767.0,10,767.0
2020-11-16,798.0,767.0,767.0,798.0,780,798.0
2020-11-17,783.0,783.0,783.0,783.0,40,783.0
2020-11-18,815.0,784.0,784.0,815.0,30,815.0
2020-11-19,815.0,815.0,815.0,815.0,0,815.0
2020-11-20,809.0,809.0,809.0,809.0,10,809.0
2020-11-24,830.0,807.0,807.0,828.0,1300,828.0
2020-11-25,850.0,850.0,850.0,850.0,60,850.0
2020-11-26,850.0,850.0,850.0,850.0,140,850.0
2020-11-27,850.0,811.0,850.0,841.0,160,841.0
2020-11-30,842.0,842.0,842.0,842.0,20,842.0
